Domain,Type,Name,Address,Target,Port,String
apple.com,NS,a.ns.apple.com,17.253.200.1,,,
apple.com,NS,a.ns.apple.com,2620:149:ae0::53,,,
apple.com,NS,d.ns.apple.com,204.26.57.1,,,
apple.com,NS,d.ns.apple.com,2620:171:801:714::1,,,
apple.com,NS,b.ns.apple.com,17.253.207.1,,,
apple.com,NS,b.ns.apple.com,2620:149:ae7::53,,,
apple.com,NS,c.ns.apple.com,204.19.119.1,,,
apple.com,NS,c.ns.apple.com,2620:171:800:714::1,,,
apple.com,MX,mx-in.g.apple.com,17.57.170.2,,,
apple.com,MX,mx-in-ma.apple.com,17.171.208.6,,,
apple.com,MX,mx-in-sg.apple.com,17.23.14.18,,,
apple.com,MX,mx-in-vib.apple.com,17.57.170.2,,,
apple.com,MX,mx-in-rn.apple.com,17.56.176.6,,,
apple.com,MX,mx-in-hfd.apple.com,17.57.165.2,,,
apple.com,A,apple.com,17.253.144.10,,,
apple.com,AAAA,apple.com,2620:149:af0::10,,,
apple.com,TXT,apple.com,,,,'v=spf1 include:_spf.apple.com include:_spf-txn.apple.com ~all'
apple.com,TXT,apple.com,,,,'yahoo-verification-key=Ay+djyw0qWQgXKWGA/jstjYryTMrKb+PBXI5l8u5/jw='
apple.com,TXT,apple.com,,,,'cisco-ci-domain-verification=6f3bfb849796a518061f8e8c4356f687a138502d86db742791685059176547dd'
apple.com,TXT,apple.com,,,,'atlassian-domain-verification=mLabq99iaT8kquJechF6l31FAYoNUe3WB7tLpLFUiUYVJCse9SKq83hOJzFkwqrh'
apple.com,TXT,apple.com,,,,'google-site-verification=zBSq1mG5ssu2If-C17UAz_MzSZDcx03MVxmeDwMNc5w'
apple.com,TXT,apple.com,,,,'miro-verification=2494d255c4c50b1e521650a0659cbf3fa08b0072'
apple.com,TXT,apple.com,,,,'adobe-idp-site-verification=6bd5e74c-a3a0-4781-b2e1-e95399b5e11c'
apple.com,TXT,apple.com,,,,'77a4a6de-da14-449c-83c4-85366e0f55f9'
apple.com,TXT,apple.com,,,,'cerner-client-id=ce3abf18-ee87-43b9-9927-9eb24b4bac4a'
apple.com,TXT,apple.com,,,,'google-site-verification=L5kkMdiFI8npvb6KlHui84fJaCw5G64DWhaDRIAT4_c'
apple.com,TXT,apple.com,,,,'google-site-verification=8M6XjQCzydT62jk8HY3VXPAG-nKDllTRV-JpA3-Ktyw'
apple.com,TXT,apple.com,,,,'apple-domain-verification=X5Jt76bn3Dnmgzjj'
apple.com,TXT,apple.com,,,,'ValidationTokenValue=77a4a6de-da14-449c-83c4-85366e0f55f9'
apple.com,TXT,apple.com,,,,'Dynatrace-site-verification=7d881a7c-c13f-4146-9d27-2731459e2509__iqls0105tagglcsaul0m16ibrf'
apple.com,TXT,apple.com,,,,'facebook-domain-verification=n6cqjfucq6plswmtfbwnbbeu1qiq3v'
apple.com,TXT,apple.com,,,,'json:eyJ3aHkiOiJUaGlzIGlzIHRvIHRydW5jYXRlIFVEUCByZXNwb25zZXMgZm9yIFRYVCBxdWVyaWVzIHRvIGFwcGxlLmNvbSIsInBhZGRpbmciOiJpZW4wYWVHaGF0aG9oNmhhaHZpZWphaTNlYXkwYWh2YWhjaGFocXVhZWxlZTBZdWw0cGhpZXRoMHNvNXZpZXllZWNvaDRpZThzaGVlcGllVDNwYWVjaGVpVjZqb2h3aWVwaG82In0K'
apple.com,TXT,apple.com,,,,'cerner-client-id=22dd1d8a-5e8b-4e1e-80ef-39bcdfd42798'
apple.com,TXT,apple.com,,,,'json:eyJ3aHkiOiJUaGlzIGlzIHRvIHRydW5jYXRlIFVEUCByZXNwb25zZXMgZm9yIFRYVCBxdWVyaWVzIHRvIGFwcGxlLmNvbSIsInBhZGRpbmciOiJxdWFoMGVpamFhNGVlajh0aWVkYWlnaG9jZWljaGFlOGVUb3ppZTVmdTVhaFRoMldlaU00aWsyaHVxdThpZXBoaWVxdW9oc2hlaXBhZWdoOUthZWw3b2NoaWVuZ2llem9lc2g1In0K'
apple.com,TXT,apple.com,,,,'webexdomainverification.8C462=b728ec3f-dfc9-42f9-92cb-9ba8853cbee8'
apple.com,TXT,apple.com,,,,'_khcec23xgc5b2lb981hup1csjb4cdnz'
apple.com,TXT,_dmarc.apple.com,,,,'v=DMARC1; p=quarantine; sp=reject; rua=mailto:d@rua.agari.com; ruf=mailto:d@ruf.agari.com;'
apple.com,SRV,_sip._tls.apple.com,17.84.86.142,gslb-b2b-ext.v.aaplimg.com,5060,
apple.com,SRV,_sip._tls.apple.com,17.84.86.140,gslb-b2b-ext.v.aaplimg.com,5060,
apple.com,SRV,_sip._udp.apple.com,17.84.86.142,gslb-b2b-ext.v.aaplimg.com,5060,
apple.com,SRV,_sip._udp.apple.com,17.84.86.140,gslb-b2b-ext.v.aaplimg.com,5060,
apple.com,SRV,_sip._tcp.apple.com,17.84.86.142,gslb-b2b-ext.v.aaplimg.com,5060,
apple.com,SRV,_sip._tcp.apple.com,17.84.86.140,gslb-b2b-ext.v.aaplimg.com,5060,
apple.com,SRV,_sips._tcp.apple.com,17.84.86.142,gslb-b2b-ext.v.aaplimg.com,5061,
apple.com,SRV,_sips._tcp.apple.com,17.84.86.140,gslb-b2b-ext.v.aaplimg.com,5061,
